text,intent
How to file a case for GST?,2
Rules regarding alimony 2024.,1
What is the punishment for agreement in India?,2
Procedure to apply for rent.,1
Rules regarding cheque bounce 2024.,2
How to file a case for tenant?,1
My neighbor is involved in agreement.,2
Is cheque bounce legal in Delhi?,2
Procedure to apply for property.,1
Latest supreme court judgment on startup.,2
Can I get a lawyer for employment?,2
Latest supreme court judgment on contract.,2
Procedure to apply for crime.,0
Latest supreme court judgment on ancestral.,1
Procedure to apply for employment.,2
Latest supreme court judgment on theft.,0
My neighbor is involved in murder.,0
Can I get a lawyer for salary?,2
How to file a case for contract?,2
My neighbor is involved in will.,1
My neighbor is involved in warrant.,0
Help me with divorce laws.,1
I am facing an issue with arrest.,0
Help me with tax laws.,2
My neighbor is involved in cheque bounce.,2
Latest supreme court judgment on rent.,1
Procedure to apply for theft.,0
My neighbor is involved in incorporation.,2
Help me with will laws.,1
Latest supreme court judgment on theft.,0
How to file a case for startup?,2
Latest supreme court judgment on warrant.,0
Rules regarding company 2024.,2
What is the punishment for murder in India?,0
Is company legal in Delhi?,2
I am facing an issue with will.,1
Rules regarding divorce 2024.,1
My neighbor is involved in tenant.,1
Rules regarding landlord 2024.,1
Procedure to apply for rent.,1
How to file a case for arrest?,0
Rules regarding company 2024.,2
Help me with murder laws.,0
Is tax legal in Delhi?,2
Latest supreme court judgment on child custody.,1
Can I get a lawyer for jail?,0
Latest supreme court judgment on will.,1
Latest supreme court judgment on tenant.,1
I am facing an issue with tenant.,1
Help me with crime laws.,0
Procedure to apply for assault.,0
My neighbor is involved in agreement.,2
Procedure to apply for child custody.,1
Can I get a lawyer for bail?,0
Procedure to apply for tenant.,1
What is the punishment for jail in India?,0
Can I get a lawyer for GST?,2
I am facing an issue with employment.,2
My neighbor is involved in FIR.,0
Procedure to apply for salary.,2
Is jail legal in Delhi?,0
Rules regarding startup 2024.,2
Help me with divorce laws.,1
I am facing an issue with crime.,0
Can I get a lawyer for assault?,0
My neighbor is involved in contract.,2
I am facing an issue with will.,1
Is tax legal in Delhi?,2
Is property legal in Delhi?,1
How to file a case for bail?,0
What is the punishment for incorporation in India?,2
What is the punishment for divorce in India?,1
How to file a case for murder?,0
Latest supreme court judgment on assault.,0
Latest supreme court judgment on cheque bounce.,2
Help me with theft laws.,0
My neighbor is involved in murder.,0
Rules regarding tax 2024.,2
Procedure to apply for cheque bounce.,2
My neighbor is involved in police.,0
Procedure to apply for agreement.,2
Rules regarding arrest 2024.,0
My neighbor is involved in tax.,2
Procedure to apply for ancestral.,1
My neighbor is involved in tax.,2
I am facing an issue with cheque bounce.,2
I am facing an issue with startup.,2
What is the punishment for contract in India?,2
My neighbor is involved in startup.,2
Procedure to apply for child custody.,1
What is the punishment for contract in India?,2
Is landlord legal in Delhi?,1
Rules regarding arrest 2024.,0
My neighbor is involved in bail.,0
I am facing an issue with alimony.,1
Rules regarding salary 2024.,2
How to file a case for cheque bounce?,2
What is the punishment for salary in India?,2
What is the punishment for theft in India?,0
Is child custody legal in Delhi?,1
My neighbor is involved in FIR.,0
My neighbor is involved in salary.,2
What is the punishment for will in India?,1
Procedure to apply for property.,1
Help me with FIR laws.,0
My neighbor is involved in tax.,2
How to file a case for agreement?,2
Is company legal in Delhi?,2
My neighbor is involved in landlord.,1
Is GST legal in Delhi?,2
What is the punishment for jail in India?,0
Rules regarding divorce 2024.,1
I am facing an issue with custody.,0
Rules regarding landlord 2024.,1
I am facing an issue with jail.,0
I am facing an issue with employment.,2
Is custody legal in Delhi?,0
Procedure to apply for will.,1
Latest supreme court judgment on company.,2
How to file a case for marriage?,1
How to file a case for cheque bounce?,2
How to file a case for assault?,0
What is the punishment for GST in India?,2
Help me with alimony laws.,1
Help me with bail laws.,0
Can I get a lawyer for ancestral?,1
Can I get a lawyer for theft?,0
I am facing an issue with divorce.,1
Can I get a lawyer for marriage?,1
Help me with child custody laws.,1
Rules regarding murder 2024.,0
Help me with crime laws.,0
What is the punishment for startup in India?,2
Is tenant legal in Delhi?,1
Is assault legal in Delhi?,0
Help me with rent laws.,1
Latest supreme court judgment on incorporation.,2
I am facing an issue with incorporation.,2
I am facing an issue with bail.,0
Is police legal in Delhi?,0
Latest supreme court judgment on murder.,0
Is assault legal in Delhi?,0
Is cheque bounce legal in Delhi?,2
Rules regarding theft 2024.,0
How to file a case for warrant?,0
Is rent legal in Delhi?,1
How to file a case for murder?,0
Procedure to apply for custody.,0
How to file a case for child custody?,1
What is the punishment for arrest in India?,0
Help me with GST laws.,2
Rules regarding arrest 2024.,0
I am facing an issue with alimony.,1
How to file a case for police?,0
What is the punishment for salary in India?,2
Procedure to apply for company.,2
Rules regarding alimony 2024.,1
Can I get a lawyer for alimony?,1
Latest supreme court judgment on company.,2
Help me with will laws.,1
Help me with murder laws.,0
My neighbor is involved in company.,2
How to file a case for warrant?,0
Rules regarding employment 2024.,2
Latest supreme court judgment on divorce.,1
Latest supreme court judgment on startup.,2
My neighbor is involved in employment.,2
Can I get a lawyer for cheque bounce?,2
Latest supreme court judgment on marriage.,1
Latest supreme court judgment on jail.,0
Latest supreme court judgment on arrest.,0
Procedure to apply for custody.,0
What is the punishment for custody in India?,0
Rules regarding agreement 2024.,2
Rules regarding assault 2024.,0
I am facing an issue with property.,1
I am facing an issue with bail.,0
I am facing an issue with murder.,0
How to file a case for salary?,2
My neighbor is involved in crime.,0
I am facing an issue with will.,1
Latest supreme court judgment on ancestral.,1
Is tax legal in Delhi?,2
Procedure to apply for rent.,1
Can I get a lawyer for salary?,2
Procedure to apply for rent.,1
Can I get a lawyer for jail?,0
Procedure to apply for child custody.,1
Can I get a lawyer for marriage?,1
Procedure to apply for marriage.,1
Procedure to apply for jail.,0
My neighbor is involved in bail.,0
Help me with alimony laws.,1
My neighbor is involved in rent.,1
Procedure to apply for cheque bounce.,2
How to file a case for ancestral?,1
Can I get a lawyer for landlord?,1
What is the punishment for rent in India?,1
I am facing an issue with property.,1
Latest supreme court judgment on cheque bounce.,2
Latest supreme court judgment on murder.,0
My neighbor is involved in child custody.,1
Latest supreme court judgment on GST.,2
Rules regarding employment 2024.,2
Can I get a lawyer for bail?,0
Help me with murder laws.,0
Latest supreme court judgment on salary.,2
What is the punishment for company in India?,2
How to file a case for assault?,0
Latest supreme court judgment on contract.,2
My neighbor is involved in will.,1
Latest supreme court judgment on divorce.,1
What is the punishment for crime in India?,0
Help me with theft laws.,0
Procedure to apply for child custody.,1
Can I get a lawyer for warrant?,0
I am facing an issue with employment.,2
Is child custody legal in Delhi?,1
Procedure to apply for contract.,2
Is landlord legal in Delhi?,1
I am facing an issue with murder.,0
I am facing an issue with contract.,2
Can I get a lawyer for landlord?,1
Latest supreme court judgment on bail.,0
I am facing an issue with assault.,0
My neighbor is involved in alimony.,1
Is jail legal in Delhi?,0
Procedure to apply for property.,1
What is the punishment for will in India?,1
Rules regarding divorce 2024.,1
Rules regarding tax 2024.,2
Latest supreme court judgment on startup.,2
I am facing an issue with alimony.,1
Latest supreme court judgment on police.,0
How to file a case for ancestral?,1
I am facing an issue with marriage.,1
What is the punishment for agreement in India?,2
Help me with rent laws.,1
Rules regarding alimony 2024.,1
Rules regarding contract 2024.,2
Latest supreme court judgment on tenant.,1
Can I get a lawyer for company?,2
Latest supreme court judgment on startup.,2
What is the punishment for GST in India?,2
Can I get a lawyer for incorporation?,2
I am facing an issue with assault.,0
Can I get a lawyer for jail?,0
Is custody legal in Delhi?,0
What is the punishment for contract in India?,2
How to file a case for murder?,0
Help me with incorporation laws.,2
Rules regarding startup 2024.,2
Help me with will laws.,1
My neighbor is involved in ancestral.,1
Rules regarding bail 2024.,0
What is the punishment for child custody in India?,1
I am facing an issue with contract.,2
Help me with employment laws.,2
Latest supreme court judgment on agreement.,2
Help me with warrant laws.,0
What is the punishment for crime in India?,0
Is agreement legal in Delhi?,2
My neighbor is involved in murder.,0
What is the punishment for police in India?,0
What is the punishment for startup in India?,2
Can I get a lawyer for murder?,0
How to file a case for alimony?,1
Latest supreme court judgment on child custody.,1
Help me with marriage laws.,1
I am facing an issue with murder.,0
My neighbor is involved in property.,1
Is rent legal in Delhi?,1
What is the punishment for landlord in India?,1
Latest supreme court judgment on salary.,2
Help me with contract laws.,2
Help me with alimony laws.,1
Rules regarding marriage 2024.,1
Rules regarding will 2024.,1
Is arrest legal in Delhi?,0
Help me with crime laws.,0
Procedure to apply for incorporation.,2
Can I get a lawyer for contract?,2
How to file a case for FIR?,0
How to file a case for FIR?,0
Help me with company laws.,2
What is the punishment for theft in India?,0
What is the punishment for bail in India?,0
What is the punishment for tenant in India?,1
Help me with child custody laws.,1
What is the punishment for divorce in India?,1
Latest supreme court judgment on jail.,0
How to file a case for company?,2
Latest supreme court judgment on incorporation.,2
My neighbor is involved in jail.,0
Is divorce legal in Delhi?,1
My neighbor is involved in bail.,0
Latest supreme court judgment on property.,1
What is the punishment for theft in India?,0
Is landlord legal in Delhi?,1
What is the punishment for murder in India?,0
